Date,Open,High,Low,Close,Volume,Market Cap
19-Dec-2022,251.24,252.93,238.65,240.66,751196285,38497257994
18-Dec-2022,242.52,253.34,240.04,251.16,925487110,40176732868
17-Dec-2022,231.22,243.58,221,242.53,1196953526,38796722023
16-Dec-2022,258.27,264.25,227.35,231.23,1264053277,36989640968
15-Dec-2022,268.15,268.15,257.08,258.27,709349174,41315420629
14-Dec-2022,271.96,277.86,266.15,268.23,1026628081,42908400755
13-Dec-2022,276.28,280.69,257.44,271.95,1925504273,43503575941
12-Dec-2022,284.43,285.54,273.53,276.28,974762447,44195717778
11-Dec-2022,288.14,290.94,284.19,284.39,496833486,45493467669
10-Dec-2022,286.11,289.49,286.11,288.13,439735200,46090966906
9-Dec-2022,290.52,291.57,285.58,286.09,644239750,45765515255
8-Dec-2022,284.3,291.51,282.81,290.54,646645162,46476916921
7-Dec-2022,290.38,290.49,282.02,284.28,759320494,45476734072
6-Dec-2022,288.46,290.6,287.11,290.35,610280514,46447810674
5-Dec-2022,292.21,296.91,286.54,288.47,705616866,46147098395
4-Dec-2022,290.55,292.34,288.5,292.29,633441009,46757282793
3-Dec-2022,293.5,294.04,289.7,290.56,634607105,46481371529
2-Dec-2022,292.03,293.53,286.14,293.53,854253818,46955638515
1-Dec-2022,300.75,301.48,290.55,292.02,1433086340,46713966636
30-Nov-2022,295.55,304.65,294.38,300.79,1009620336,48118283430
29-Nov-2022,293.49,304.82,289.76,295.5,986451640,47271122271
28-Nov-2022,307.4,309.1,289.49,293.53,1154829072,46955899032
27-Nov-2022,311.37,316.22,307.16,307.43,793779029,49179890751
26-Nov-2022,300.57,316.96,300.39,311.39,1221554861,49813311436
25-Nov-2022,300.33,304.16,294.91,300.58,949045515,48083958346
24-Nov-2022,297.95,303.06,294.53,300.43,1219177799,48060047574
23-Nov-2022,266.42,300.02,265.03,297.85,1920236928,47647318082
22-Nov-2022,254.02,266.89,252.39,266.32,800429058,42604562673
21-Nov-2022,264.24,264.74,250.66,254.17,1094850661,40659978959
20-Nov-2022,272.43,273.65,262.56,264.24,720361905,42270466526
19-Nov-2022,273.89,274.26,269.65,272.4,551451228,43576320416
18-Nov-2022,267.91,274.51,267.91,273.92,685307608,43819908780
17-Nov-2022,272.09,273.22,264.4,267.91,854777255,42858741189
16-Nov-2022,276.86,279.79,269.65,272.08,908816092,43525943306
15-Nov-2022,278.63,281.88,274.09,276.87,1116291060,44292678773
14-Nov-2022,276.62,290.72,268.23,278.58,1541330420,44565408018
13-Nov-2022,282.37,286.08,274.05,276.58,956106804,44245687908
12-Nov-2022,289.86,290.37,272.05,282.34,1189401392,45167505778
11-Nov-2022,303.99,304.91,280.63,289.82,1625174426,46364088779
10-Nov-2022,266.89,311.07,264.47,304.08,2461275687,48645327658
9-Nov-2022,327.82,332.06,261.73,266.85,3191459132,42690010298
8-Nov-2022,336.99,388.72,302.75,327.69,5390603525,52422579607
7-Nov-2022,338.9,344.04,327.68,337.01,1811518274,53914349553
6-Nov-2022,349.29,354.49,339.19,339.39,1143505730,54294354064
5-Nov-2022,354.42,360.31,347.02,349.25,1231594445,55872507022
4-Nov-2022,329.67,358.18,328.74,354.41,1938879952,56696907534
3-Nov-2022,320.17,338.64,318.5,329.72,1514834239,52747289289
2-Nov-2022,324.47,329.04,316.28,320.15,1411029750,51216971698
1-Nov-2022,326.28,334.21,317.94,324.58,1329110451,51925582975
31-Oct-2022,313.67,336.8,307.63,326.36,2168405759,52210645189
30-Oct-2022,304.23,318.07,302.53,313.75,1451550019,50194052761
29-Oct-2022,298,307.91,295.95,304.22,1397370727,48668443564
28-Oct-2022,286.84,300.72,286.14,298.01,1072756219,47676042557
27-Oct-2022,290.39,293.07,285.23,286.84,874526054,45889133084
26-Oct-2022,284.36,291.7,284.16,290.38,1017326051,46454401105
25-Oct-2022,273.95,289.6,272.37,284.43,940035659,45503479951
24-Oct-2022,276,276.88,271.88,273.98,535946814,43830941989
23-Oct-2022,270.48,276.57,269.1,276.01,483765500,44155896393
22-Oct-2022,270.03,271.01,268.57,270.48,391459296,43271477490
21-Oct-2022,269.24,271.05,264.52,270.04,593811687,43200999361
20-Oct-2022,271.95,273.29,267.86,269.27,539795617,43352990987
19-Oct-2022,273.22,273.65,270.68,271.98,497761035,43789393911
18-Oct-2022,275.53,275.82,270.53,273.21,599934776,44079687878
17-Oct-2022,272.5,275.84,270.43,275.51,594844795,44450444229
16-Oct-2022,268.41,273.74,268.36,272.52,563344666,43967624739
15-Oct-2022,269.56,271.36,267.88,268.4,491674298,43303579986
14-Oct-2022,271.85,276.53,268.34,269.57,809144930,43491230300
13-Oct-2022,270.96,273.49,257.97,271.85,1124480167,43859763700
12-Oct-2022,271.41,272.74,269.66,270.97,546926291,43717719231
11-Oct-2022,271.73,273.66,268.45,271.37,584301468,43782320108
10-Oct-2022,278.24,279.06,271.81,271.81,655201928,43852446092
9-Oct-2022,276.45,279.28,275.46,278.24,570350814,44890165690
8-Oct-2022,282.99,282.99,276.05,276.47,604706997,44604842765
7-Oct-2022,286.77,286.96,280.19,283.18,952606066,45687917102
6-Oct-2022,294.16,297.7,279.8,286.63,1010110227,46244769578
5-Oct-2022,296.29,296.33,289.9,294.14,656837388,47455366376
4-Oct-2022,287.02,297.99,286.53,296.3,794566055,47803983107
3-Oct-2022,284.41,288.63,283.9,287.03,700566674,46308955784
2-Oct-2022,282.9,287.38,279.95,284.43,556343468,45889655979
1-Oct-2022,284.27,285.19,278.36,282.87,593375648,45637780787
30-Sep-2022,283.83,289.54,280.89,284.19,905481572,45850807479
29-Sep-2022,281.77,285.23,277.5,283.79,800888080,45785742688
28-Sep-2022,272.33,283.34,266.98,281.78,857467325,45461808208
27-Sep-2022,275.93,286.07,270.82,272.4,927431127,43948518789
26-Sep-2022,274.14,276.45,271.19,275.93,716989161,44517443602
25-Sep-2022,275.1,279.2,271.67,274.06,640533920,44216290549
24-Sep-2022,276.63,284.63,275.14,275.14,818302597,44389589747
23-Sep-2022,275.49,277.38,269.67,276.63,869618433,44630120018
22-Sep-2022,264.61,275.91,264.03,275.5,843345381,44448461252
21-Sep-2022,266.39,275.83,261.28,264.79,1057177278,42720828475
20-Sep-2022,272.13,273.2,265.69,266.37,845702947,42975342723
19-Sep-2022,266.25,272.62,257.19,272.07,1074224923,43894998284
18-Sep-2022,279.22,279.62,264.74,266.31,789437105,42966238265
17-Sep-2022,274.73,279.53,274.73,279.25,560951664,45053322423
16-Sep-2022,270.81,276.26,269.13,274.65,803452434,44312018098
15-Sep-2022,279.38,280.25,268.01,270.81,1080164338,43691241396
14-Sep-2022,277.41,282.15,274.83,279.39,956413768,45075350228
13-Sep-2022,293.65,297.69,275.97,277.58,1136956066,44783501316
12-Sep-2022,295.17,299.18,291.15,293.66,998624528,47378094637
11-Sep-2022,296.92,297.88,291.3,295.16,700835025,47620609272
10-Sep-2022,293.4,298.44,291.25,296.97,851195253,47912171545
9-Sep-2022,280.54,294.96,280.22,293.41,1139680146,47337502118
8-Sep-2022,278.76,282.06,276.05,280.58,870477242,45267601400
7-Sep-2022,262.61,279.76,259.99,278.76,963734560,44974585825
6-Sep-2022,276.75,285.75,262.6,262.67,1173656468,42378199797
5-Sep-2022,278.85,280.61,273.72,276.69,665273781,44639749526
4-Sep-2022,277.78,279.81,275.45,278.84,512014471,44987580579
3-Sep-2022,277.43,278.43,274.78,277.78,490102253,44815551874
2-Sep-2022,278.39,282.91,274.49,277.42,807053745,44757554223
1-Sep-2022,279.25,280.22,271.47,278.42,954919263,44919072542
31-Aug-2022,281.46,289.77,278.08,279.24,952486877,45051509129
30-Aug-2022,286.22,291.66,277.07,281.43,979620743,45404396097
29-Aug-2022,276.28,286.33,272.81,286.22,1009161525,46178176758
28-Aug-2022,277.8,283.63,276.25,276.25,758285305,44569560737
27-Aug-2022,279.57,283.85,274.54,277.8,962669292,44819743903
26-Aug-2022,301.56,301.56,277.85,279.6,1210077085,45109604572
25-Aug-2022,296.49,306.14,296.2,301.58,973529233,48656681716
24-Aug-2022,299.02,299.96,294.71,296.45,935405757,47828378769
23-Aug-2022,300.57,301.2,294.32,299.03,1034959891,48244669167
22-Aug-2022,302.03,303.82,289.31,300.56,1463703478,48491385289
21-Aug-2022,283.64,303.66,283.64,302.06,1249205607,48732933148
20-Aug-2022,279.62,288.91,278.33,283.69,1315367730,45770274443
19-Aug-2022,298.15,298.19,278.58,279.72,1598319492,45129050401
18-Aug-2022,306.8,310.19,297.03,298.14,1041814513,48101290423
17-Aug-2022,316.4,323.24,305.33,306.64,1111784114,49471881412
16-Aug-2022,319.71,322.16,312.81,316.42,963072351,51050928255
15-Aug-2022,318.03,326.83,314.86,319.89,1141553086,51609739346
14-Aug-2022,323.97,330.81,316.66,317.99,936178150,51303090208
13-Aug-2022,327.57,332.52,323.48,323.87,991712327,52252321198
12-Aug-2022,323.77,327.51,318.27,327.51,980643843,52840320751
11-Aug-2022,328.46,334.1,322.31,323.8,1511577808,52241044211
